REGIONS;GENDER;YEAR;VALUE
Nord;female;2020;19,7
Nord;total;2020;16,8
Centro;male;2018;14,3
Centro;female;2018;16,5
Centro;total;2018;15,4
Centro;male;2019;16,6
Centro;female;2019;19,7
Centro;total;2019;18,1
Centro;male;2020;18,9
Centro;female;2020;21,1
Centro;total;2020;19,9
Sud;male;2018;30,9
Sud;female;2018;32,4
Sud;total;2018;31,6
Sud;male;2019;31,8
Sud;female;2019;34,2
Sud;total;2019;33
Sud;male;2020;31,2
Sud;female;2020;34,2
Sud;total;2020;32,6
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
